[;3.500E-07;,;0.043;],
[;3.560E-07;,;0.118;],
[;3.560E-07;,;0.091;],
[;3.595E-07;,;0.109;],
[;3.607E-07;,;0.144;],
[;3.643E-07;,;0.162;],
[;3.679E-07;,;0.201;],
[;3.679E-07;,;0.181;],
[;3.690E-07;,;0.225;],
[;3.762E-07;,;0.256;],
[;3.774E-07;,;0.292;],
[;3.810E-07;,;0.333;],
[;3.857E-07;,;0.362;],
[;3.869E-07;,;0.373;],
[;3.905E-07;,;0.357;],
[;3.917E-07;,;0.382;],
[;3.940E-07;,;0.399;],
[;3.964E-07;,;0.391;],
[;3.976E-07;,;0.401;],
[;3.988E-07;,;0.382;],
[;4.024E-07;,;0.426;],
[;4.060E-07;,;0.404;],
[;4.071E-07;,;0.415;],
[;4.095E-07;,;0.415;],
[;4.107E-07;,;0.434;],
[;4.155E-07;,;0.412;],
[;4.179E-07;,;0.435;],
[;4.214E-07;,;0.423;],
[;4.286E-07;,;0.459;],
[;4.321E-07;,;0.452;],
[;4.369E-07;,;0.476;],
[;4.417E-07;,;0.457;],
[;4.452E-07;,;0.474;],
[;4.488E-07;,;0.448;],
[;4.548E-07;,;0.498;],
[;4.607E-07;,;0.474;],
[;4.667E-07;,;0.512;],
[;4.750E-07;,;0.542;],
[;4.786E-07;,;0.525;],
[;4.869E-07;,;0.598;],
[;4.929E-07;,;0.547;],
[;5.000E-07;,;0.590;],
[;5.095E-07;,;0.598;],
[;5.161E-07;,;0.572;],
[;5.250E-07;,;0.651;],
[;5.333E-07;,;0.597;],
[;5.381E-07;,;0.631;],
[;5.417E-07;,;0.637;],
[;5.464E-07;,;0.637;],
[;5.488E-07;,;0.646;],
[;5.571E-07;,;0.602;],
[;5.685E-07;,;0.699;],
[;5.786E-07;,;0.611;],
[;5.869E-07;,;0.668;],
[;5.929E-07;,;0.672;],
[;5.976E-07;,;0.675;],
[;6.089E-07;,;0.609;],
[;6.196E-07;,;0.685;],
[;6.333E-07;,;0.573;],
[;6.446E-07;,;0.620;],
[;6.571E-07;,;0.609;],
[;6.708E-07;,;0.509;],
[;6.845E-07;,;0.589;],
[;7.000E-07;,;0.490;],
[;7.173E-07;,;0.521;],
[;7.458E-07;,;0.397;],
[;7.601E-07;,;0.443;],
[;7.810E-07;,;0.332;],
[;8.185E-07;,;0.308;],
[;8.435E-07;,;0.217;],
[;8.560E-07;,;0.226;],
[;8.875E-07;,;0.144;],
[;9.327E-07;,;0.097;],
[;9.714E-07;,;0.047;],
[;1.021E-06;,;0.018;],
[;1.067E-06;,;0.007;],
[;1.094E-06;,;0.003;],
